,prompt,response
71,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Cookware>Pots & Pans'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Cookware>Bakeware'
2. 'Home & Kitchen>Kitchen & Dining>Dinnerware'
3. 'Home & Kitchen>Kitchen & Dining>Small Appliances'
4. 'Electronics>Computers & Accessories>Laptops'",'Home & Kitchen>Kitchen & Dining>Cookware>Bakeware'
72,"Given breadcrumb: 'Home & Kitchen>Bedding>Sheets & Pillowcases'
Options: 
1. 'Home & Garden>Furniture>Bedroom Furniture'
2. 'Home & Kitchen>Bedding>Blankets & Throws'
3. 'Home & Kitchen>Bedding>Comforters & Sets'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Bedding>Blankets & Throws'
73,"Given breadcrumb: 'Electronics>Camera & Photo>Digital Cameras>DSLR Cameras'
Options: 
1. 'Electronics>Camera & Photo>Digital Cameras>Point & Shoot Cameras'
2. 'Electronics>Camera & Photo>Video>Camcorders'
3. 'Electronics>Camera & Photo>Digital Cameras>Mirrorless Cameras'
4. 'Electronics>Computers & Tablets>Desktops'",'Electronics>Camera & Photo>Digital Cameras>Mirrorless Cameras'
74,"Given breadcrumb: 'Health & Household>Health Care>First Aid>Bandages & Bandaging Supplies'
Options: 
1. 'Health & Household>Health Care>First Aid>Antibiotics & Antiseptics'
2. 'Health & Household>Health Care>First Aid>Defibrillators'
3. 'Health & Household>Health Care>First Aid>Hot & Cold Therapies'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Household>Health Care>First Aid>Antibiotics & Antiseptics'
75,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Cookware>Pots & Pans'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Cookware>Cookware Sets'
2. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Microwaves'
3. 'Home & Kitchen>Kitchen & Dining>Tableware>Dinnerware Sets'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Kitchen & Dining>Cookware>Cookware Sets'
76,"Given breadcrumb: 'Electronics>Computers & Accessories>Laptops'
Options: 
1. 'Electronics>Computers & Accessories>Desktops'
2. 'Electronics>Computers & Accessories>Tablets'
3. 'Electronics>Computers & Accessories>Monitors'
4. 'Home & Kitchen>Kitchen & Dining>Cookware'",'Electronics>Computers & Accessories>Desktops'
77,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents & Shelters'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
2. 'Sports & Outdoors>Outdoor Recreation>Cycling>Bikes'
3. 'Sports & Outdoors>Fitness>Exercise & Fitness Equipment'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
79,"Given breadcrumb: 'Sports & Outdoors>Fitness & Sports>Exercise & Fitness>Yoga Mats'
Options: 
1. 'Sports & Outdoors>Fitness & Sports>Exercise & Fitness>Yoga Blocks'
2. 'Sports & Outdoors>Fitness & Sports>Exercise & Fitness>Workout Gloves'
3. 'Sports & Outdoors>Fitness & Sports>Exercise & Fitness>Jump Ropes'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Fitness & Sports>Exercise & Fitness>Yoga Blocks'
80,"Given breadcrumb: 'Electronics>Computers & Accessories>Computer Components>Internal Hard Drives'
Options: 
1. 'Electronics>Computers & Accessories>Computer Components>Internal Power Supplies'
2. 'Electronics>Computers & Accessories>Computer Components>Internal Sound Cards'
3. 'Electronics>Computers & Accessories>Computer Components>Internal Memory Card Readers'
4. 'Electronics>Computers & Tablets>Desktops'",'Electronics>Computers & Accessories>Computer Components>Internal Power Supplies'
81,"Given breadcrumb: 'Toys & Games>Puzzles>Jigsaw Puzzles'
Options: 
1. 'Toys & Games>Puzzles>Sudoku Puzzles'
2. 'Toys & Games>Games>Board Games'
3. 'Toys & Games>Outdoor Play>Playhouses'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Puzzles>Sudoku Puzzles'
82,"Given breadcrumb: 'Grocery & Gourmet Food>Beverages>Coffee>Ground Coffee'
Options: 
1. 'Grocery & Gourmet Food>Beverages>Coffee>Instant Coffee'
2. 'Grocery & Gourmet Food>Beverages>Coffee>Coffee Beans'
3. 'Grocery & Gourmet Food>Beverages>Tea>Green'
4. 'Electronics>Computers & Tablets>Desktops'",'Grocery & Gourmet Food>Beverages>Coffee>Instant Coffee'
83,"Given breadcrumb: 'Beauty & Personal Care>Hair Care>Styling Products>Hair Sprays'
Options: 
1. 'Beauty & Personal Care>Hair Care>Styling Products>Hair Gels'
2. 'Beauty & Personal Care>Makeup>Face>Blush'
3. 'Beauty & Personal Care>Makeup>Lips>Lipstick'
4. 'Home & Kitchen>Kitchen & Dining>Tableware'",'Beauty & Personal Care>Hair Care>Styling Products>Hair Gels'
84,"Given breadcrumb: 'Health & Household>Health Care>First Aid>Antibiotics & Antiseptics'
Options: 
1. 'Health & Household>Health Care>First Aid>Adhesive Bandages'
2. 'Health & Household>Health Care>First Aid>Scissors'
3. 'Health & Household>Health Care>First Aid>Gauze'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Household>Health Care>First Aid>Adhesive Bandages'
85,"Given breadcrumb: 'Beauty & Personal Care>Hair Care>Shampoo & Conditioner Sets'
Options: 
1. 'Beauty & Personal Care>Hair Care>Hair & Scalp Treatments'
2. 'Beauty & Personal Care>Hair Care>Hair Coloring Products'
3. 'Beauty & Personal Care>Hair Care>Hair Accessories'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Hair Care>Hair & Scalp Treatments'
86,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Bakeware>Baking Tools & Accessories'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Bakeware>Cake Pans'
2. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Blenders'
3. 'Home & Kitchen>Kitchen & Dining>Tableware>Dinnerware Sets'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Kitchen & Dining>Bakeware>Cake Pans'
87,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents & Shelters'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Backpacks & Bags'
3. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Camp Kitchen'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
88,"Given breadcrumb: 'Beauty & Personal Care>Skin Care>Face>Cleansers'
Options: 
1. 'Beauty & Personal Care>Skin Care>Face>Moisturizers'
2. 'Beauty & Personal Care>Skin Care>Body>Lotions'
3. 'Beauty & Personal Care>Skin Care>Face>Treatments & Masks'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Skin Care>Face>Moisturizers'
89,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Small Appliances>Microwaves'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Toasters'
2. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Blenders'
3. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Coffee Makers'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Kitchen & Dining>Small Appliances>Toasters'
90,"Given breadcrumb: 'Pet Supplies>Dogs>Feeding & Watering Supplies>Automatic Feeders'
Options: 
1. 'Pet Supplies>Dogs>Feeding & Watering Supplies>Bowls & Dishes'
2. 'Pet Supplies>Dogs>Feeding & Watering Supplies>Water Bottles'
3. 'Pet Supplies>Dogs>Feeding & Watering Supplies>Food Storage'
4. 'Electronics>Computers & Tablets>Desktops'",'Pet Supplies>Dogs>Feeding & Watering Supplies>Bowls & Dishes'
91,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Women>Accessories>Hats & Caps'
Options: 
1. 'Clothing, Shoes & Jewelry>Women>Accessories>Scarves & Wraps'
2. 'Clothing, Shoes & Jewelry>Women>Accessories>Sunglasses & Eyewear Accessories'
3. 'Clothing, Shoes & Jewelry>Women>Accessories>Gloves & Mittens'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Women>Accessories>Scarves & Wraps'"
92,"Given breadcrumb: 'Health & Household>Health Care>First Aid>Antibiotics & Antiseptics'
Options: 
1. 'Health & Household>Health Care>First Aid>Adhesive Bandages'
2. 'Health & Household>Health Care>First Aid>Hot & Cold Therapies'
3. 'Health & Household>Health Care>First Aid>Scars & Wounds'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Household>Health Care>First Aid>Adhesive Bandages'
93,"Given breadcrumb: 'Health & Household>Health Care>Foot Health>Bunions, Blisters & Corns'
Options: 
1. 'Health & Household>Health Care>Foot Health>Inserts & Insoles'
2. 'Health & Household>Vitamins & Dietary Supplements>Herbal Supplements'
3. 'Health & Household>Health Care>Foot Health>Wart Removal'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Household>Health Care>Foot Health>Inserts & Insoles'
94,"Given breadcrumb: 'Health & Personal Care>Personal Care>Oral Care>Toothbrushes'
Options: 
1. 'Health & Personal Care>Personal Care>Oral Care>Toothpaste'
2. 'Health & Personal Care>Personal Care>Oral Care>Mouthwash'
3. 'Health & Personal Care>Personal Care>Oral Care>Dental Floss & Picks'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Personal Care>Personal Care>Oral Care>Toothpaste'
95,"Given breadcrumb: 'Sports & Outdoors>Fitness Equipment>Strength Training Equipment>Home Gyms'
Options: 
1. 'Sports & Outdoors>Fitness Equipment>Strength Training Equipment>Dumbbells'
2. 'Sports & Outdoors>Fitness Equipment>Cardio Training>Treadmills'
3. 'Sports & Outdoors>Fitness Equipment>Strength Training Equipment>Weight Vests'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Fitness Equipment>Strength Training Equipment>Dumbbells'
96,"Given breadcrumb: 'Electronics>Camera & Photo>Video>Camcorders'
Options: 
1. 'Electronics>Camera & Photo>Video>Action Cameras'
2. 'Electronics>Camera & Photo>Lenses>Camera Lenses'
3. 'Electronics>Camera & Photo>Accessories>Bags & Cases'
4. 'Electronics>Computers & Tablets>Desktops'",'Electronics>Camera & Photo>Video>Action Cameras'
97,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Backpacks & Bags'
3. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Pads'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
98,"Given breadcrumb: 'Pet Supplies>Dogs>Food>Dry'
Options: 
1. 'Pet Supplies>Dogs>Food>Wet'
2. 'Pet Supplies>Cats>Food>Dry'
3. 'Pet Supplies>Birds>Food'
4. 'Electronics>Computers & Tablets>Desktops'",'Pet Supplies>Dogs>Food>Wet'
99,"Given breadcrumb: 'Electronics>Computers & Accessories>Computer Components>Motherboards'
Options: 
1. 'Electronics>Computers & Accessories>Computer Components>Processors'
2. 'Electronics>Computers & Accessories>Computer Components>Hard Drives'
3. 'Electronics>Computers & Accessories>Computer Components>Memory'
4. 'Home & Kitchen>Kitchen & Dining>Cookware'",'Electronics>Computers & Accessories>Computer Components>Processors'
